# Users,Ramp,Machine,Duration,Total requests,Success requests,Success percent
800,10,vm,1128,52296.0,43614.0,83.39834786599357
800,10,vm,785,42222.0,34975.0,82.83596229453839
800,10,vm,841,46086.0,38522.0,83.58720652692791
800,10,vm,643,45179.0,37973.0,84.05011177759579
800,10,vm,754,44405.0,36663.0,82.56502646098413
800,10,vm,660,46371.0,38781.0,83.63201138642687
800,10,vm,1119,44953.0,37424.0,83.25139590238693
800,10,vm,1077,42418.0,34988.0,82.4838511952473
800,10,vm,1389,43004.0,35370.0,82.24816296158497
800,10,vm,688,45033.0,37637.0,83.57648835298559
800,10,vm,1118,50696.0,42704.0,84.23544263847246
800,10,vm,1018,46025.0,38287.0,83.18739815317763
800,10,vm,964,47349.0,39583.0,83.59838644955543
800,10,vm,691,37656.0,29964.0,79.5729764181007
800,10,vm,673,42883.0,35402.0,82.55485856866358
800,10,vm,694,47882.0,40392.0,84.3573785556159
800,10,vm,1107,42293.0,34701.0,82.04903884803632
800,10,vm,667,46015.0,38499.0,83.66619580571553
800,10,vm,777,41863.0,34250.0,81.81449012254258
800,10,vm,1096,45174.0,37383.0,82.75335369903041
800,10,vm,1213,44197.0,36373.0,82.29744100278299
800,10,vm,874,44017.0,36372.0,82.6317104754981
800,10,vm,1271,43311.0,35578.0,82.14541340537046
800,10,vm,787,44070.0,36436.0,82.67755842977081
